عنوان_H1,قاره_یا_منطقه,کشور_مقصد,جهت_در_منطقه,شهر_یا_جزیره_مقصد,شهر_یا_استان_مبدا,نوع_تور,فصل_برگزاری,ماه_تقویمی_برگزاری,تعطیلات_خاص_تقویمی,رویداد_یا_مناسبت_خاص,تم_یا_هدف_سفر,نوع_وسیله_نقلیه,نام_دقیق_هتل,تعداد_ستاره_هتل,برچسب_کلاسی_تور,پرسونای_مخاطب,وضعیت_ویزا,نوع_سفر
تور کیش هتل پارمیس,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,null,null,هوایی,هتل پارمیس,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور کیش هتل کوروش,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,null,null,هوایی,هتل کوروش,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور کیش هتل داریوش,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,null,null,هوایی,هتل داریوش,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور کیش هتل شایان,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,null,null,هوایی,هتل شایان,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور کیش هتل پانوراما,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,null,null,هوایی,هتل پانوراما,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور کودک و نوجوان,null,null,null,null,null,تک مقصد,null,null,null,null,null,null,null,null,null,کودک و نوجوان,null,تفریحی
تور کیش هتل لیلیوم,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,null,null,هوایی,هتل لیلیوم,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور کیش هتل گامبرون,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,null,null,هوایی,هتل گامبرون,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور کیش هتل مارینا پارک,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,null,null,هوایی,هتل مارینا پارک,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور کیش هتل میراژ,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,null,null,هوایی,هتل میراژ,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور مشهد مهر 1405,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,پاییز,مهر,null,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,زیارتی، تفریحی
تور مشهد هتل بشری,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,null,null,null,null,null,هوایی، زمینی، ریلی,هتل بشری,null,null,null,بدون ویزا,زیارتی، تفریحی
تور مشهد اردیبهشت 1405,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,بهار,اردیبهشت,null,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,زیارتی، تفریحی
تور کیش هتل ویدا,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,null,null,هوایی,هتل ویدا,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور مشهد هتل الماس 2,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,null,null,null,null,null,هوایی، زمینی، ریلی,هتل الماس 2,null,null,null,بدون ویزا,زیارتی، تفریحی
تور مشهد هتل نسیم,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,null,null,null,null,null,هوایی، زمینی، ریلی,هتل نسیم,null,null,null,بدون ویزا,زیارتی، تفریحی
تور مشهد هتل سهند 1,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,null,null,null,null,null,هوایی، زمینی، ریلی,هتل سهند 1,null,null,null,بدون ویزا,زیارتی، تفریحی
تور مشهد هتل دیپلمات,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,null,null,null,null,null,هوایی، زمینی، ریلی,هتل دیپلمات,null,null,null,بدون ویزا,زیارتی، تفریحی
تور مشهد هتل جواد,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,null,null,null,null,null,هوایی، زمینی، ریلی,هتل جواد,null,null,null,بدون ویزا,زیارتی، تفریحی
تور مشهد هتل بین المللی قصر,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,null,null,null,null,null,هوایی، زمینی، ریلی,هتل بین المللی قصر,null,null,null,بدون ویزا,زیارتی، تفریحی
تور مشهد هتل کارن,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,null,null,null,null,null,هوایی، زمینی، ریلی,هتل کارن,null,null,null,بدون ویزا,زیارتی، تفریحی
تور اندونزی مهر 1405,آسیا,اندونزی,جنوب شرق آسیا,null,null,تک مقصد,پاییز,مهر,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,استراحت و ریلکسیشن، تفریحی
تور ارمنستان خرداد 1405,اوراسیا,ارمنستان,قفقاز و آناتولی,null,null,تک مقصد,بهار,خرداد,null,null,null,هوایی، زمینی,null,null,null,null,بدون ویزا,تاریخی-فرهنگی، تفریحی
تور اندونزی نوروز 1405,آسیا,اندونزی,جنوب شرق آسیا,null,null,تک مقصد,بهار,null,نوروز,null,null,هوایی,null,null,null,null,نیازمند ویزا,استراحت و ریلکسیشن، طبیعت‌گردی
تور دبی پاییز 1405,آسیا,امارات,خاورمیانه,دبی,null,تک مقصد,پاییز,null,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,تفریحی، خرید
تور اندونزی پاییز 1405,آسیا,اندونزی,جنوب شرق آسیا,null,null,تک مقصد,پاییز,null,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,استراحت و ریلکسیشن، تفریحی
تور ارمنستان مهر 1405,اوراسیا,ارمنستان,قفقاز و آناتولی,null,null,تک مقصد,پاییز,مهر,null,null,null,هوایی، زمینی,null,null,null,null,بدون ویزا,تاریخی-فرهنگی، تفریحی
تور بالی پاییز 1405,آسیا,اندونزی,جنوب شرق آسیا,بالی,null,تک مقصد,پاییز,null,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,استراحت و ریلکسیشن، تفریحی
تور بانکوک نوروز 1405,آسیا,تایلند,جنوب شرق آسیا,بانکوک,null,تک مقصد,بهار,null,نوروز,null,null,هوایی,null,null,null,null,نیازمند ویزا,تفریحی، خرید
تور جام جهانی قطر ۲۰۲۲,آسیا,قطر,خاورمیانه,null,null,تک مقصد,null,null,null,جام جهانی,null,هوایی,null,null,null,null,نیازمند ویزا,رویداد ورزشی، تفریحی
تور سنگاپور نوروز 1405,آسیا,سنگاپور,جنوب شرق آسیا,سنگاپور,null,تک مقصد,بهار,null,نوروز,null,null,هوایی,null,null,null,null,نیازمند ویزا,تفریحی، خرید
تور بالی مهر 1405,آسیا,اندونزی,جنوب شرق آسیا,بالی,null,تک مقصد,پاییز,مهر,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,استراحت و ریلکسیشن، تفریحی
تور بالی آذر 1405,آسیا,اندونزی,جنوب شرق آسیا,بالی,null,تک مقصد,پاییز,آذر,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,استراحت و ریلکسیشن، تفریحی
تور سن پترزبورگ نوروز 1405,اروپا,روسیه,اروپای مرکزی و شرقی,سن پترزبورگ,null,تک مقصد,بهار,null,نوروز,null,null,هوایی,null,null,null,null,نیازمند ویزا,تاریخی-فرهنگی، تفریحی
تور بالی بهار 1405,آسیا,اندونزی,جنوب شرق آسیا,بالی,null,تک مقصد,بهار,null,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,استراحت و ریلکسیشن، تفریحی
تور پاتایا نوروز 1405,آسیا,تایلند,جنوب شرق آسیا,پاتایا,null,تک مقصد,بهار,null,نوروز,null,null,هوایی,null,null,null,null,نیازمند ویزا,تفریحی، استراحت و ریلکسیشن
تور جام ملت‌های آسیا,آسیا,null,null,null,null,تک مقصد,null,null,null,جام ملت‌های آسیا,null,هوایی,null,null,null,null,null,رویداد ورزشی
تور چین نوروز 1405,آسیا,چین,شرق آسیا,null,null,تک مقصد,بهار,null,نوروز,null,null,هوایی,null,null,null,null,نیازمند ویزا,تاریخی-فرهنگی، تفریحی، تجاری
تور سنگاپور پاییز 1405,آسیا,سنگاپور,جنوب شرق آسیا,سنگاپور,null,تک مقصد,پاییز,null,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,تفریحی، خرید
تور چابهار پاییز 1405,آسیا,ایران,جنوب کشور,چابهار,null,تک مقصد,پاییز,null,null,null,null,هوایی,null,null,null,null,بدون ویزا,طبیعت‌گردی، تفریحی
تورهای لوکس و لاکچری کیش,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,null,null,هوایی,null,null,لوکس و لاکچری,null,بدون ویزا,استراحت و ریلکسیشن، تفریحی
تور استانبول هتل رادیسون بلو,اوراسیا,ترکیه,قفقاز و آناتولی,استانبول,null,تک مقصد,null,null,null,null,null,هوایی، زمینی,هتل رادیسون بلو,null,null,null,بدون ویزا,تفریحی، خرید، تاریخی-فرهنگی
تور وان پاییز 1405,اوراسیا,ترکیه,قفقاز و آناتولی,وان,null,تک مقصد,پاییز,null,null,null,null,زمینی، هوایی,null,null,null,null,بدون ویزا,خرید، تفریحی
تور چابهار آذر 1405,آسیا,ایران,جنوب کشور,چابهار,null,تک مقصد,پاییز,آذر,null,null,null,هوایی,null,null,null,null,بدون ویزا,طبیعت‌گردی، تفریحی
تور ترابزون نوروز 1405,اوراسیا,ترکیه,قفقاز و آناتولی,ترابزون,null,تک مقصد,بهار,null,نوروز,null,null,زمینی، هوایی,null,null,null,null,بدون ویزا,طبیعت‌گردی، تفریحی
تور استانبول تابستان 1405,اوراسیا,ترکیه,قفقاز و آناتولی,استانبول,null,تک مقصد,تابستان,null,null,null,null,هوایی، زمینی,null,null,null,null,بدون ویزا,تفریحی، خرید
تور چابهار آبان 1405,آسیا,ایران,جنوب کشور,چابهار,null,تک مقصد,پاییز,آبان,null,null,null,هوایی,null,null,null,null,بدون ویزا,طبیعت‌گردی، تفریحی
تور استانبول زمستان 1405,اوراسیا,ترکیه,قفقاز و آناتولی,استانبول,null,تک مقصد,زمستان,null,null,null,null,هوایی، زمینی,null,null,null,null,بدون ویزا,تفریحی، خرید
تور قبرس شمالی نوروز 1405,اروپا,قبرس شمالی,مدیترانه,null,null,تک مقصد,بهار,null,نوروز,null,null,هوایی,null,null,null,null,بدون ویزا,استراحت و ریلکسیشن، تفریحی
تور استانبول 5 شب و 6 روز,اوراسیا,ترکیه,قفقاز و آناتولی,استانبول,null,تک مقصد,null,null,null,null,null,هوایی، زمینی,null,null,null,null,بدون ویزا,تفریحی، خرید
تور روسیه خرداد 1405,اوراسیا,روسیه,اروپای مرکزی و شرقی,null,null,تک مقصد,بهار,خرداد,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,تاریخی-فرهنگی، تفریحی
تور تایلند اردیبهشت 1405,آسیا,تایلند,جنوب شرق آسیا,null,null,تک مقصد,بهار,اردیبهشت,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,طبیعت‌گردی، تفریحی، استراحت و ریلکسیشن
تور تایلند بهار 1405,آسیا,تایلند,جنوب شرق آسیا,null,null,تک مقصد,بهار,null,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,طبیعت‌گردی، تفریحی، استراحت و ریلکسیشن
تور مسکو سنت پترزبورگ,اوراسیا,روسیه,اروپای مرکزی و شرقی,مسکو، سنت پترزبورگ,null,ترکیبی,null,null,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,تاریخی-فرهنگی، تفریحی
تور فرانسه نوروز 1405,اروپا,فرانسه,اروپای غربی,null,null,تک مقصد,بهار,null,نوروز,null,null,هوایی,null,null,null,null,نیازمند ویزا,تاریخی-فرهنگی، تفریحی
تور سوئیس ایتالیا,اروپا,سوئیس، ایتالیا,اروپای غربی,null,null,ترکیبی,null,null,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,تاریخی-فرهنگی، تفریحی
تور روسیه تیر 1405,اوراسیا,روسیه,اروپای مرکزی و شرقی,null,null,تک مقصد,تابستان,تیر,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,تاریخی-فرهنگی، تفریحی
تور تایلند خرداد 1405,آسیا,تایلند,جنوب شرق آسیا,null,null,تک مقصد,بهار,خرداد,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,طبیعت‌گردی، تفریحی، استراحت و ریلکسیشن
تور تبریز هتل لاله پارک,آسیا,ایران,شمال کشور,تبریز,null,تک مقصد,null,null,null,null,null,هوایی، زمینی، ریلی,هتل لاله پارک,null,null,null,بدون ویزا,تاریخی-فرهنگی، تفریحی
تور عمان از مشهد,آسیا,عمان,خاورمیانه,null,مشهد,تک مقصد,null,null,null,null,null,هوایی,null,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن
تور پوکت پاییز 1405,آسیا,تایلند,جنوب شرق آسیا,پوکت,null,تک مقصد,پاییز,null,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,استراحت و ریلکسیشن، تفریحی
تور عمان از شیراز,آسیا,عمان,خاورمیانه,null,شیراز,تک مقصد,null,null,null,null,null,هوایی,null,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن
تور استانبول 4 شب و 5 روز,اوراسیا,ترکیه,قفقاز و آناتولی,استانبول,null,تک مقصد,null,null,null,null,null,هوایی، زمینی,null,null,null,null,بدون ویزا,تفریحی، خرید، تاریخی-فرهنگی
تور قشم پاییز 1405,آسیا,ایران,جنوب کشور,قشم,null,تک مقصد,پاییز,null,null,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,طبیعت‌گردی، خرید، تفریحی
تور کیش آبان 1405,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,پاییز,آبان,null,null,null,هوایی,null,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور قشم مهر 1405,آسیا,ایران,جنوب کشور,قشم,null,تک مقصد,پاییز,مهر,null,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,طبیعت‌گردی، خرید، تفریحی
تور پوکت آذر 1405,آسیا,تایلند,جنوب شرق آسیا,پوکت,null,تک مقصد,پاییز,آذر,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,استراحت و ریلکسیشن، تفریحی
تور کیش مهر 1405,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,پاییز,مهر,null,null,null,هوایی,null,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور زمینی باکو,اوراسیا,آذربایجان,قفقاز و آناتولی,باکو,null,تک مقصد,null,null,null,null,null,زمینی,null,null,null,null,نیازمند ویزا,تاریخی-فرهنگی، تفریحی
تور شیراز از مشهد,آسیا,ایران,جنوب کشور,شیراز,مشهد,تک مقصد,null,null,null,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,تاریخی-فرهنگی، تفریحی
تور مشهد از یزد,آسیا,ایران,شرق کشور,مشهد,یزد,تک مقصد,null,null,null,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,زیارتی، تفریحی
تور ترکیه با قطار,اوراسیا,ترکیه,قفقاز و آناتولی,null,null,تک مقصد,null,null,null,null,null,ریلی,null,null,null,null,بدون ویزا,تفریحی، تاریخی-فرهنگی
تور آذربایجان زمینی,اوراسیا,آذربایجان,قفقاز و آناتولی,null,null,تک مقصد,null,null,null,null,null,زمینی,null,null,null,null,نیازمند ویزا,تفریحی، تاریخی-فرهنگی
تور سه روزه کیش,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,null,null,هوایی,null,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور مشهد از همدان,آسیا,ایران,شرق کشور,مشهد,همدان,تک مقصد,null,null,null,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,زیارتی، تفریحی
تور ترکیه نوروز 1405,اوراسیا,ترکیه,قفقاز و آناتولی,null,null,تک مقصد,بهار,null,نوروز,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,تفریحی، تاریخی-فرهنگی
تور دبی تابستان 1405,آسیا,امارات,خاورمیانه,دبی,null,تک مقصد,تابستان,null,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,تفریحی، خرید
تور یک روزه,null,null,null,null,null,null,null,null,null,null,null,زمینی,null,null,null,null,null,طبیعت‌گردی، تفریحی
تور کیش هتل سارا,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,null,null,هوایی,هتل سارا,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور کربلا رجب 1405,آسیا,عراق,خاورمیانه,کربلا,null,تک مقصد,null,رجب,null,null,زیارتی,هوایی، زمینی,null,null,null,null,بدون ویزا,زیارتی
تورهای خاص فصلی,null,null,null,null,null,null,null,null,null,null,null,null,null,null,خاص,null,null,تفریحی، طبیعت‌گردی
تور کربلا شعبان 1405,آسیا,عراق,خاورمیانه,کربلا,null,تک مقصد,null,شعبان,null,null,زیارتی,هوایی، زمینی,null,null,null,null,بدون ویزا,زیارتی
تور استانبول 3 شب و 4 روز,اوراسیا,ترکیه,قفقاز و آناتولی,استانبول,null,تک مقصد,null,null,null,null,null,هوایی، زمینی,null,null,null,null,بدون ویزا,تفریحی، خرید، تاریخی-فرهنگی
تور کیش هتل سان رایز,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,null,null,هوایی,هتل سان رایز,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور ترکیه ارزان,اوراسیا,ترکیه,قفقاز و آناتولی,null,null,تک مقصد,null,null,null,null,null,هوایی، زمینی، ریلی,null,null,ارزان,null,بدون ویزا,تفریحی، تاریخی-فرهنگی
تور مشهد زمستان 1405,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,زمستان,null,null,null,زیارتی,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,زیارتی، تفریحی
تور مشهد پاییز 1405,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,پاییز,null,null,null,زیارتی,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,زیارتی، تفریحی
تور کاپادوکیا,اوراسیا,ترکیه,قفقاز و آناتولی,کاپادوکیا,null,تک مقصد,null,null,null,null,null,هوایی، زمینی,null,null,null,null,بدون ویزا,تفریحی، تاریخی-فرهنگی، طبیعت‌گردی
تور چابهار دی 1405,آسیا,ایران,جنوب کشور,چابهار,null,تک مقصد,زمستان,دی,null,null,null,هوایی,null,null,null,null,بدون ویزا,طبیعت‌گردی، تفریحی
تور بنتوتا,آسیا,سریلانکا,جنوب آسیا,بنتوتا,null,تک مقصد,null,null,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,تفریحی، استراحت و ریلکسیشن
تور اصفهان زمستان 1405,آسیا,ایران,غرب کشور,اصفهان,null,تک مقصد,زمستان,null,null,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,تاریخی-فرهنگی، تفریحی
